trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	color_comb	response_hand	phase_duration	onset_abs	duration
27	176.03905987739563	stim	0		0	unambiguous	face	redhouse	left	1.9815043391645542	1938.0347218513489	1.1703150272369385
27	177.20937490463257	face	0	3	237	unambiguous	face	redhouse	left	1.9815043391645542	1939.2050368785858	0.8128411769866943
28	178.02221608161926	stim	0		0	unambiguous	house	redhouse	left	1.991982477262789	1940.0178780555725	0.7373018264770508
28	178.7595179080963	house	0	3	238	unambiguous	house	redhouse	left	1.991982477262789	1940.7551798820496	1.254228115081787
29	180.0137460231781	stim	0		0	unambiguous	face	redhouse	left	1.9833492247262936	1942.0094079971313	0.9375948905944824
29	180.95134091377258	face	0	3	237	unambiguous	face	redhouse	left	1.9833492247262936	1942.9470028877258	1.0456371307373047
30	181.9969780445099	stim	0		0	unambiguous	house	redhouse	left	1.97850170845931	1943.9926400184631	0.5879690647125244
30	182.5849471092224	house	0	3	236	unambiguous	house	redhouse	left	1.97850170845931	1944.5806090831757	1.386894941329956
31	183.97184205055237	stim	0		0	unambiguous	face	redhouse	left	1.9581792331804322	1945.9675040245056	0.5966939926147461
31	184.56853604316711	face	0	3	234	unambiguous	face	redhouse	left	1.9581792331804322	1946.5641980171204	1.361595869064331
32	185.93013191223145	stim	0		0	unambiguous	house	redhouse	left	2.0084933610910536	1947.9257938861847	1.0583860874176025
32	186.98851799964905	house	0	3	239	unambiguous	house	redhouse	left	2.0084933610910536	1948.9841799736023	0.9498419761657715
33	187.93835997581482	stim	0		0	unambiguous	face	redhouse	left	2.0013290745320136	1949.934021949768	0.5666351318359375
33	188.50499510765076	face	0	3	238	unambiguous	face	redhouse	left	2.0013290745320136	1950.500657081604	1.4330379962921143
34	189.93803310394287	stim	0		0	unambiguous	house	redhouse	left	1.993928447538154	1951.9336950778961	0.4583449363708496
34	190.39637804031372	house	0	3	240	unambiguous	house	redhouse	left	1.993928447538154	1952.392040014267	1.5415010452270508
35	191.93787908554077	stim	0		0	unambiguous	face	redhouse	left	2.0415906553275316	1953.933541059494	0.4916830062866211
35	192.4295620918274	face	0	3	245	unambiguous	face	redhouse	left	2.0415906553275316	1954.4252240657806	1.549750804901123
36	193.97931289672852	stim	0		0	unambiguous	house	redhouse	left	2.043934337326339	1955.9749748706818	0.5003471374511719
36	194.4796600341797	house	0	3	245	unambiguous	house	redhouse	left	2.043934337326339	1956.475322008133	1.5413239002227783
37	196.02098393440247	stim	0		0	unambiguous	face	redhouse	left	1.9581493977860485	1958.0166459083557	0.7834069728851318
37	196.8043909072876	face	0	3	235	unambiguous	face	redhouse	left	1.9581493977860485	1958.8000528812408	1.174880027770996
38	197.9792709350586	stim	0		0	unambiguous	house	redhouse	left	1.9638117449934072	1959.9749329090118	0.48340415954589844
38	198.4626750946045	house	0	3	236	unambiguous	house	redhouse	left	1.9638117449934072	1960.4583370685577	1.4833638668060303
39	199.94603896141052	stim	0		0	unambiguous	face	redhouse	left	2.0452349324653434	1961.9417009353638	0.683434009552002
39	200.62947297096252	face	0	3	245	unambiguous	face	redhouse	left	2.0452349324653434	1962.6251349449158	1.3582069873809814
40	201.9876799583435	stim	0		0	unambiguous	house	redhouse	left	1.9573418926460213	1963.9833419322968	0.6751630306243896
40	202.6628429889679	house	0	3	235	unambiguous	house	redhouse	left	1.9573418926460213	1964.6585049629211	1.2835540771484375
41	203.94639706611633	stim	0		0	unambiguous	face	redhouse	left	2.047024140815908	1965.9420590400696	1.0921590328216553
